T,value
225,7239.15
226,6359.23
227,1563.05
228,133.83
229,3193.68
230,5232.14
231,509.96
232,-162.36
233,8082.34
234,9973.43
235,3490.37
236,8556.2
237,-817.21
238,2147.36
239,8676.75
240,1230.61
241,860.92
242,2437.6
243,2739.74
244,9700.73
245,7266.65
246,6592.18
247,790.9
248,2644.22
249,-582.94
250,1525.15
251,1225.95
252,-542.5
253,-919.5
254,9940.36
255,8642.04
256,866.28
257,4431.59
258,9694.17
259,7024.88
260,2200.67
261,2558.78
262,4404.95
263,2076.91
264,1564.09
265,6584.62
266,5787.57
267,7665.67
268,2889.71
269,388.65
270,7014.3
271,424.17
272,-980.38
273,9641.34
274,-940.64
275,6603.63
276,6215.87
277,1225.31
278,-183.06
279,1197.57
280,6567.62
281,6012.98
282,1251.17
283,5338.96
284,2868.95
285,3490.85
286,5751.81
287,660.71
288,3417.45
289,4004.6
290,5360.75
291,6103.74
292,8524.71
293,8936.21
294,5952.41
295,6104.03
296,2530.68
297,3249.95
298,4811.97
299,821.29
300,7363.01
301,9103.1
302,5815.95
303,701.47
304,6479.28
305,6339.07
306,3849.1
307,9866.63
308,1454.38
309,-269.42
310,1856.19
311,9868.33
312,8119.09
313,665.76
314,308.36
315,-414.18
316,-186.96
317,1640.34
318,1072.91
319,1278.26
320,9601.71
321,4016.53
322,7878.88
323,333.1
324,8321.01
325,6206.25
326,4501.08
327,726.6
328,-25.55
329,8444.5
330,2762.06
331,-97.42
332,-410.25
333,-181.11
334,1012.61
335,-139.69
336,4211.92
337,2674.96
338,9966.12
339,1681.09
340,3968.33
341,724.74
342,1654.11
343,1501.67
344,2578.77
345,-601.71
346,4915.11
347,7270.08
348,9210.02
349,9828.73
350,2604.7
351,6109.38
352,4385.72
353,8821.12
354,7580.69
355,4630.19
356,3590.28
357,4827.66
358,529.78
359,3034.58
360,4205.77
361,9386.59
362,7506.32
363,8797.91
364,2566.62
365,4231.57
366,2952.76
367,4073.03
368,376.33
369,8988.88
370,180.1
371,-111.05
372,1508.57
373,8461.76
374,6832.88
375,9196.65
376,5148.48
377,2576.6
378,6914.43
379,4864.25
380,-569.36
381,9611.98
382,707.09
383,1981.04
384,7244.89
385,3926.28
386,8975.77
387,-100.52
388,2486.15
389,4623.51
390,1405.2
391,9208.73
392,-770.65
393,3591.61
394,5162.27
395,3202.69
396,5794.81
397,8463.99
398,346.89
399,9040.41
400,8294.07
401,4456.9
402,6056.48
403,6209.77
404,8589.77
405,2318.66
406,5621.14
407,4549.37
408,9233.39
409,6592.43
410,5042.89
411,9809.14
412,3232.56
413,9555.32
414,5338.36
415,3793.83
416,4950.04
417,352.39
418,2586.37
419,6169.71
420,6275.27
421,9414.95
422,187.78
423,7882.59
424,7730.48
425,3222.99
426,2825.78
427,3911.67
428,5473.52
429,9506.79
430,3620.73
431,-363.39
432,6508.94
433,9857.52
434,2434.12
435,-844.81
436,246.85
437,-307.61
438,8894.21
439,4053.93
440,9429.3
441,-610.08
442,7284.5
443,9563.27
444,6940.06
445,6623.88
446,5546.5
447,4121.87
448,7192.04
449,6598.23
450,3416.86
451,5162.44
452,6173.74
453,8052.33
454,630.22
455,8038.06
456,2762.21
457,2488.29
458,7701.88
459,6483.26
460,7136.44
461,7164.04
462,9042.69
463,2510.48
464,6685.61
465,9024.12
466,9480.75
467,6058.61
468,9032.18
469,1987.55
470,6685.51
471,7320.57
472,-86.51
473,6959.33
474,575.28
475,8608.51
476,9277.33
477,8213.05
478,6788.29
479,7869.27
480,3842.0
481,478.31
482,6954.46
483,6648.09
484,5546.14
485,8982.09
486,7060.31
487,3734.18
488,3305.67
489,6330.23
490,9129.98
491,6645.0
492,8617.56
493,7366.28
494,9054.73
4713,45983.16
4714,13309.6
4715,28955.64
4716,22824.48
4717,49620.16
4718,44694.46
4719,54058.05
4720,46796.47
4721,39890.88
4722,2618.76
4723,32986.52
4724,28733.64
4725,30690.9
4726,23678.55
4727,50723.92
4728,73426.5
4729,61998.31
4730,13608.6
4731,11594.16
4732,81639.88
4733,31809.96
4734,73943.82
4735,43058.75
4736,6476.15
4737,47227.6
4738,64605.44
4739,2210.32
4740,6582.96
4741,79059.64
4742,9159.66
4743,40217.23
4744,47344.32
4745,7532.3
4746,75928.31
4747,17554.68
4748,30875.02
4749,9681.24
4750,32410.8
4751,68065.96
4752,13418.23
4753,29004.25
4754,65854.94
4755,47397.28
4756,75043.92
4757,62105.2
4758,70542.42
4759,78083.7
4760,84252.52
4761,53782.08
4762,43383.08
4763,82746.18
4764,48338.88
4765,63360.93
4766,54494.4
4767,40675.95
4768,42995.94
4769,39353.82
4770,27076.98
4771,35126.41
4772,64061.68
4773,6230.52
4774,13358.28
4775,8368.0
4776,66066.44
4777,35733.03
4778,40144.7
4779,2925.18
4780,57738.28
4781,88089.08
4782,34454.4
4783,47000.25
4784,46906.8
4785,52735.84
4786,58761.6
4787,37893.76
4788,22172.42
4789,4318.5
4790,44606.94
4791,32717.5
4792,8736.96
4793,16277.95
4794,1888.8
4795,18477.03
4796,39520.81
4797,30602.35
4798,47323.25
4799,5645.73
4800,61489.35
4801,54174.12
4802,49071.75
4803,58841.42
4804,25278.61
4805,42761.7
4806,19454.11
4807,56149.72
4808,31857.11
4809,72575.88
4810,14614.16
4811,29518.78
4812,28562.24
4813,32656.83
4814,76912.31
4815,33710.76
4816,4576.59
4817,9781.17
4818,8488.16
4819,8780.52
4820,84516.52
4821,18848.6
4822,84705.18
4823,27133.12
4824,72554.78
4825,14190.08
4826,64330.42
4827,59698.0
4828,24778.35
4829,4753.8
4830,65058.24
4831,55008.07
4832,21537.34
4833,22184.82
4834,60223.6
4835,39038.33
4836,10571.1
4837,4540.28
4838,36435.75
4839,10116.63
4840,6196.05
4841,20700.79
4842,45261.94
4843,57388.8
4844,17614.21
4845,82495.6
4846,47834.16
4847,20303.91
4848,5687.97
4849,10378.44
4850,1108.05
4851,44885.81
4852,23330.46
4853,59085.2
4854,16829.37
4855,22880.22
4856,45544.4
4857,80286.24
4858,15514.24
4859,43340.85
4860,44190.9
4861,38782.59
4862,27367.74
4863,1712.62
4864,93017.76
4865,49850.7
4866,11091.6
4867,35256.98
4868,23046.75
4869,66868.98
4870,43432.62
4871,27927.9
4872,80625.12
4873,12661.44
4874,3117.3
4875,53835.84
4876,55494.78
4877,57469.18
4878,86106.24
4879,6318.08
4880,25152.48
4881,28242.3
4882,62722.86
4883,77627.5
4884,55527.98
4885,56774.96
4886,9816.8
4887,27292.08
4888,79930.55
4889,69506.0
4890,9505.36
4891,31566.24
4892,62574.6
4893,66641.64
4894,40647.36
4895,24692.67
4896,4760.92
4897,58310.62
4898,64182.69
4899,36957.4
4900,47318.72
4901,18690.96
4902,31926.78
4903,5228.49
4904,18539.2
4905,34894.8
4906,53396.35
4907,33937.2
4908,50166.87
4909,10064.8
4910,57279.12
4911,45259.2
4912,35413.18
4913,29808.4
4914,56024.64
4915,4772.72
4916,45928.05
4917,1341.31
4918,61305.12
4919,75145.89
4920,67427.37
4921,68029.6
4922,10468.2
4923,37372.24
4924,73863.09
4925,23144.52
4926,18765.24
4927,92158.71
4928,31512.6
4929,8604.09
4930,51218.59
4931,20034.36
4932,47863.44
4933,80664.99
4934,37788.96
4935,14509.69
4936,1844.91
4937,9549.25
4938,18278.4
4939,97115.55
4940,17408.38
4941,5085.16
4942,49318.17
4943,4632.96
4944,21484.95
4945,40171.23
4946,61055.36
4947,5261.07
4948,64105.47
4949,36117.17
4950,6991.28
4951,38400.4
4952,15251.67
4953,39722.47
4954,32192.16
4955,74879.61
4956,3036.3
4957,3507.21
4958,3525.38
4959,54381.24
4960,57681.54
4961,16197.84
4962,48627.25
4963,24726.15
4964,2964.9
4965,91795.5
4966,14206.77
4967,4918.65
4968,27619.05
4969,85666.24
4970,78315.84
4971,31552.0
4972,19204.13
4973,44661.63
4974,55763.5
4975,23531.52
4976,16130.07
4977,81425.26
4978,30048.2
4979,16304.48
4980,5497.72
4981,46364.16
4982,9699.48
4983,19772.87
4984,79246.44
4985,27082.4
4986,10280.07
4987,22511.64
4988,35374.01
4989,48030.5
4990,34629.19
4991,3900.93
4992,7070.42
4993,42124.11
4994,16712.1
4995,54080.36
4996,24175.0
4997,16235.8
4998,75408.3
4999,18014.15
5000,49916.36
5001,39586.82
5002,46849.5
5003,11082.24
5004,82934.88
5005,26696.18
5006,8448.8
5007,8147.92
5008,37227.6
5009,53611.6
5010,40026.0
5011,48973.32
5012,42535.0
5013,52506.52
5014,60548.88
5015,73032.96
5016,50983.53
5017,26487.58
5018,10912.8
5019,32272.55
5020,83417.85
5021,81132.04
5022,1745.78
5023,59887.62
5024,50671.36
5025,20755.8
5026,29445.24
5027,10585.35
5028,30774.3
5029,70777.67
5030,49926.32
5031,88581.71
5032,5531.52
5033,49272.3
5034,42448.64
5035,39920.58
5036,19299.9
5037,5645.6
5038,53901.48
5039,27475.92
5040,2726.9
5041,35147.04
5042,13113.5
5043,18873.14
5044,22932.21
5045,25085.06
5046,34019.28
5047,3325.48
5048,68096.52
5049,16813.03
5050,8032.32
5051,49060.44
5052,87496.32
5053,50141.84
5054,4964.01
5055,25098.92
5056,35268.35
5057,24642.42
5058,19732.02
5059,39378.2
5060,44074.54
5061,9545.68
5062,62717.12
5063,8418.1
5064,44051.58
5065,84550.5
5066,9681.66
5067,42256.38
5068,41644.4
5069,42305.34
5070,46693.64
5071,60717.2
5072,9561.84
5073,60877.32
5074,4723.71
5075,46360.81
5076,81302.4
5077,69945.76
5078,36438.25
5079,57146.1
5080,48330.32
5081,31091.3
5082,80718.96
5083,82399.6
5084,18259.0
5085,15937.65
5086,31204.8
5087,3690.87
5088,52517.08
5089,30586.5
5090,41587.56
5091,25927.2
5092,80534.5
5093,4552.84
5094,78659.28
5095,5896.05
5096,39287.16
5097,49840.56
5098,18102.72
5099,18044.28
5100,29123.12
5101,23767.65
5102,26932.8
5103,36212.72
5104,79058.25
5105,65081.08
5106,19769.2
5107,48514.2
5108,48225.24
5109,14684.1
5110,68570.38
5111,78181.67
5112,32925.36
5113,62860.71
5114,38586.0
5115,15338.88
5116,16769.06
5117,21081.19
5118,59615.2
5119,68264.68
5120,7176.78
5121,5080.86
5122,2074.12
5123,44911.36
5124,37218.94
5125,43851.66
5126,62730.29
5127,55563.2
5128,11372.13
5129,3625.54
5130,35526.72
5131,40177.32
5132,57278.9
5133,76911.08
5134,92636.53
5135,1606.64
5136,79544.08
5137,20856.66
5138,40566.71
5139,15104.8
5140,22483.2
5141,16575.92
5142,70064.4
5143,32398.94
5144,28980.0
5145,59148.45
5146,20760.0
5147,62016.0
5148,43915.44
5149,30611.46
5150,51858.56
5151,15654.08
5152,66978.83
5153,52512.48
5154,56458.08
5155,71626.96
5156,82078.31
5157,16726.6
5158,26140.2
5159,21890.88
5160,52090.92
5161,32992.0
5162,11464.92
5163,69796.88
5164,47089.6
5165,70977.16
5166,94471.51
5167,36782.1
5168,53757.76
5169,29158.2
5170,64183.02
5171,50252.4
5172,5441.28
5173,71067.0
5174,30848.64
5175,63179.16
5176,37736.64
5177,9509.15
5178,19226.34
5179,5936.25
5180,31447.36
5181,52034.17
5182,17826.64
5183,63984.18
5184,49962.32
5185,32288.55
5186,30150.3
5187,80212.04
5188,54836.48
5189,38745.34
5190,62386.6
5191,59368.05
5192,76275.98
5193,87362.19
5194,27538.2
5195,60002.9
5196,42328.08
5197,12360.6
5198,20796.45
5199,12571.16
5200,26453.89
5201,28855.0
5202,65748.8
5203,1474.47
5204,42786.24
5205,22528.22
5206,77360.64
5207,39940.74
5208,59909.85
5209,62911.36
5210,60788.21
5211,54635.13
5212,6310.08
5213,42084.9
5214,55772.78
5215,57215.4
5216,1817.87
5217,49653.94
5218,55134.0
5219,1391.44
5220,10741.08
5221,8768.4
5222,40678.04
5223,2482.32
5224,16145.16
5225,24343.0
5226,54949.02
5227,10035.81
5228,26727.48
5229,52171.41
5230,86813.56
5231,4621.77
5232,12428.8
5233,47990.8
5234,1964.94
5235,54810.0
5236,50352.57
5237,35796.76
5238,45335.68
5239,45296.0
5240,11218.96
5241,1943.84
5242,44038.08
5243,6781.32
5244,8698.95
5245,21419.58
5246,26087.04
5247,9630.5
5248,76006.21
5249,49771.41
5250,19312.59
5251,12640.32
5252,31361.22
5253,65297.88
5254,66195.8
5255,66811.32
5256,57810.55
5257,1168.21
5258,32855.27
5259,88405.56
5260,15654.8
5261,7715.36
5262,50629.3
5263,16480.8
5264,8325.18
5265,1852.78
5266,41274.74
5267,53297.64
5268,55528.9
5269,81119.22
5270,16018.2
5271,35787.96
5272,6242.36
5273,55035.33
5274,1236.31
5275,5135.22
5276,47183.5
5277,18017.28
5278,22291.59
5279,41889.68
5280,22641.84
5281,66425.6
5282,17778.4
5283,37705.8
5284,29195.4
5285,45148.94
5286,48162.51
5287,47487.84
5288,15294.4
5289,5681.56
5290,19475.95
5291,73509.6
5292,87950.16
5293,4774.59
5294,3147.09
5295,2164.34
5296,43914.24
5297,39997.68
5298,57735.21
5299,40179.9
5300,16809.93
5301,56191.46
5302,1051.09
5303,55782.72
5304,64784.16
5305,5816.88
5306,24553.7
5307,53827.65
5308,41840.26
5309,25232.35
5310,73689.3
5311,19625.25
5312,5465.55
5313,45945.75
5314,58859.04
5315,6708.3
5316,34025.77
5317,63254.8
5318,20307.24
5319,63101.28
5320,78575.2
5321,50240.19
5322,36866.34
5323,47709.48
5324,55626.88
5325,36107.37
5326,46181.86
5327,16979.05
5328,36174.06
5329,51335.79
5330,50996.36
5331,9873.84
5332,65196.3
5333,7686.35
5334,42080.85
5335,65657.64
5336,8817.44
5337,48132.75
5338,44461.56
5339,52219.44
5340,9083.7
5341,12140.32
5342,30808.08
5343,47471.68
5344,83630.27
5345,50685.43
5346,38656.8
5347,13291.88
5348,10946.7
5349,6238.24
5350,24554.53
5351,12654.95
5352,44879.24
5353,43794.8
5354,34840.68
5355,16097.73
5356,29727.9
5357,45051.21
5358,89095.95
5359,38037.24
5360,85312.92
5361,53455.5
5362,51702.3
5363,57737.96
5364,16066.95
5365,17710.42
5366,28206.0
5367,56498.8
5368,42540.68
5369,36174.1
5370,50481.21
5371,83280.96
5372,9477.66
5373,89004.02
5374,20268.25
5375,55198.71
5376,31159.26
5377,9281.6
5378,39642.48
5379,41010.48
5380,56428.92
5381,59965.92
5382,20807.47
5383,41370.56
5384,30313.95
5385,59181.46
5386,47889.47
5387,9396.52
5388,19704.71
5389,51304.5
5390,12270.24
5391,13011.32
5392,16085.96
5393,19896.76
5394,3649.7
5395,47815.84
5396,79477.6
5397,31404.24
5398,11676.51
5399,45644.09
5400,46734.72
5401,23092.46
5402,47956.32
5403,45743.47
5404,43526.8
5405,38530.8
5406,14360.49
5407,18156.82
5408,20624.5
5409,43052.24
5410,58283.49
5411,6756.5
5412,47939.84
5413,5063.25
5414,51207.12
5415,62616.6
5416,20060.28
5417,23736.64
5418,39517.8
5419,18104.8
5420,55855.6
5421,46283.6
5422,54548.13
5423,10483.06
5424,85972.04
5425,24719.94
5426,54545.33
5427,81309.9
5428,87863.16
5429,52565.12
5430,84260.66
5431,68324.62
5432,69671.2
5433,56811.28
5434,6666.95
5435,48078.0
5436,11261.0
5437,38109.69
5438,49243.5
5439,38011.0
5440,7070.21
5441,35549.82
5442,45054.63
5443,49439.88
5444,21491.4
5445,24198.31
5446,64188.37
5447,17441.52
5448,7377.85
5449,61373.01
5450,28503.93
5451,60445.54
5452,60943.22
5453,8643.7
5454,84713.16
5455,37746.5
5456,21093.24
5457,54712.7
5458,16722.68
5459,39070.2
5460,31861.67
5461,66565.5
5462,27883.65
5463,68823.3
5464,10061.0
5465,60942.15
5466,4420.53
5467,65818.0
5468,92359.12
5469,18895.91
5470,48074.1
5471,22269.36
5472,3321.18
5473,21926.71
5474,16813.06
5475,68831.55
5476,25788.0
5477,53314.45
5478,30014.4
5479,63160.02
5480,7074.76
5481,20732.64
5482,57554.04
5483,13555.19
5484,32429.6
5485,11610.62
5486,72791.95
5487,48537.06
5488,18612.36
5489,32953.31
5490,18147.92
5491,43458.12
5492,28463.19
5493,9577.17
5494,5714.73
5495,42764.64
5496,83042.75
5497,85472.64
5498,88684.78
5499,15684.21
5500,66112.55
5501,36157.8
5502,1522.49
5503,52601.47
5504,37439.2
5505,46287.6
5506,33157.8
5507,42957.76
5508,72602.46
5509,3289.4
5510,35184.83
5511,5519.61
5512,25300.69
5513,45312.5
5514,43123.85
5515,16359.48
5516,49698.46
5517,72751.2
5518,19207.44
5519,48121.58
5520,9603.0
5521,85678.2
5522,32540.61
5523,59173.45
5524,50227.44
5525,67983.3
5526,42820.0
5527,40862.4
5528,13762.87
5529,11812.5
5530,36435.0
5531,12024.39
5532,46158.64
5533,19181.24
5534,22221.84
5535,30163.83
5536,27329.0
5537,35093.0
5538,41982.0
5539,76438.05
5540,35041.65
5541,64139.52
5542,8727.12
5543,77212.32
5544,89124.96
5545,31056.0
5546,92187.5
5547,30532.56
5548,29234.7
5549,31818.24
5550,77344.96
5551,39967.76
5552,46073.72
5553,43580.86
5554,41460.51
5555,33569.58
5556,23817.57
5557,90940.16
5558,14233.6
5559,55438.02
5560,62959.05
5561,8357.85
5562,1592.68
5563,60876.06
5564,54612.18
5565,23544.15
5566,10180.26
5567,39850.72
5568,42282.24
5569,51334.92
5570,18395.46
5571,88456.32
5572,5720.65
5573,3447.72
5574,7749.21
5575,10973.4
5576,32434.75
5577,20863.08
5578,47591.88
5579,41384.46
5580,34706.76
5581,46776.96
5582,50401.94
5583,29353.5
5584,1555.64
5585,9161.36
5586,39972.9
5587,27050.25
5588,59961.33
5589,7763.63
5590,9921.31
5591,35339.5
5592,15796.56
5593,24678.78
5594,30979.5
5595,20984.52
5596,33440.04
5597,36706.59
5598,19137.92
5599,56017.6
5600,27724.16
5601,13143.39
5602,30962.59
5603,28134.34
5604,39485.94
5605,13223.76
5606,17493.85
5607,33578.44
5608,59825.47
5609,47547.63
5610,33121.77
5611,8199.92
5612,57854.42
5613,29324.1
5614,24046.22
5615,35313.32
5616,59736.95
5617,996.07
5618,8352.64
5619,45710.62
5620,39770.72
5621,92724.89
5622,27099.18
5623,14765.74
5624,39702.6
5625,9326.24
5626,24999.66
5627,89246.42
5628,32771.39
5629,28996.73
5630,68348.07
5631,5231.43
5632,42430.5
5633,19495.9
5634,35135.25
5635,78658.36
5636,84071.75
5637,5246.28
5638,43285.92
5639,85390.0
5640,75808.8
5641,92640.32
5642,44073.36
5643,74695.85
5644,84294.36
5645,80036.8
5646,62656.62
5647,57682.8
5648,52324.32
5649,66110.88
5650,26200.5
5651,67426.56
5652,77721.55
5653,34736.0
5654,33621.75
5655,26443.52
5656,63914.9
5657,66092.76
5658,15752.24
5659,18469.14
5660,37315.52
5661,26846.2
5662,27957.75
5663,40740.0
5664,7442.3
5665,1086.17
5666,14236.2
5667,36360.0
5668,1463.48
5669,63614.0
5670,74200.14
5671,17938.4
5672,55402.8
5673,72887.04
5674,3246.18
5675,58363.41
5676,12933.1
5677,48626.88
5678,16793.28
5679,77073.04
5680,66554.84
5681,26739.3
5682,5795.64
5683,56843.04
5684,51687.22
5685,8633.75
5686,31584.24
5687,4994.1
5688,86003.42
5689,22511.84
5690,46243.6
5691,1938.1
5692,53991.62
5693,19886.57
5694,4372.29
5695,80393.32
5696,31351.8
5697,39484.28
5698,18556.95
5699,43660.71
5700,64677.91
5701,57388.39
5702,60685.92
5703,52743.5
5704,59286.92
5705,54304.14
5706,7779.56
5707,32464.04
5708,31321.08
5709,19206.85
5710,41181.14
5711,13383.58
5712,54008.46
5713,20597.71
5714,7420.0
5715,15368.58
5716,12744.12
5717,15079.4
5718,23617.2
5719,7375.2
5720,74426.85
5721,77457.12
5722,60105.96
5723,38869.86
5724,7898.05
5725,48177.36
5726,7224.7
5727,45997.44
5728,3779.68
5729,84498.32
5730,32380.56
5731,35946.86
5732,42074.1
5733,38938.4
5734,27115.65
5735,25014.99
5736,43045.2
5737,25698.2
5738,44778.14
5739,8688.4
5740,59775.36
5741,53689.02
5742,74829.48
5743,24731.88
5744,27180.3
5745,8288.16
5746,12236.32
5747,38699.01
5748,27807.15
5749,12801.15
5750,1379.36
5751,30014.85
5752,69760.8
5753,22821.9
5754,48703.98
5755,50187.84
5756,6823.38
5757,84216.79
5758,48707.7
5759,66354.24
5760,59656.38
5761,50248.64
5762,59223.68
5763,32151.68
5764,8777.04
5765,11295.48
5766,19324.5
5767,38664.64
5768,23123.0
5769,38646.0
5770,12101.18
5771,3824.04
5772,66718.88
5773,11803.77
5774,34101.15
5775,53796.6
5776,19790.55
5777,88914.13
5778,74823.0
5779,37123.84
5780,81517.6
5781,58228.8
5782,21158.54
5783,39715.2
5784,83500.41
5785,17659.2
5786,34083.64
5787,52326.78
5788,73217.39
5789,78580.32
5790,89230.05
5791,60503.04
5792,58110.5
5793,54975.52
5794,36817.2
5795,19844.64
5796,18410.48
5797,29662.08
5798,65311.04
5799,9855.9
5800,90294.5
5801,44252.4
5802,54809.46
5803,21152.88
5804,85093.56
5805,44632.0
5806,14950.08
5807,51327.76
5808,29115.56
5809,17178.04
5810,36877.1
5811,87852.18
5812,52244.92
5813,46010.86
5814,76806.66
5815,34579.65
5816,33563.52
5817,40807.8
5818,57005.0
5819,43272.46
5820,73128.0
5821,96645.5
5822,2746.56
5823,72221.41
5824,46741.5
5825,40381.74
5826,35705.4
5827,58959.28
5828,8054.58
5829,22542.4
5830,17000.82
5831,65967.84
5832,3443.34
5833,40575.24
5834,75356.6
5835,50739.48
5836,29708.8
5837,34863.21
5838,74578.98
5839,4876.77
5840,30890.43
5841,31316.34
5842,43731.43
5843,29725.12
5844,59605.56
5845,67863.32
5846,19879.05
5847,25625.88
5848,29728.2
5849,63447.3
5850,55457.5
5851,42881.65
5852,7623.28
5853,10732.92
5854,7945.8
5855,39558.76
5856,54806.4
5857,24059.64
5858,61868.92
5859,34352.91
5860,24248.32
5861,2212.02
5862,14675.22
5863,5569.56
5864,42249.6
5865,27131.2
5866,78615.24
5867,57740.72
5868,54861.38
5869,56723.76
5870,40652.64
5871,9120.4
5872,17717.59
5873,69953.76
5874,25243.92
5875,67102.2
5876,26469.04
5877,72299.99
5878,50482.33
5879,51412.65
5880,29746.59
5881,957.01
5882,29513.16
5883,62237.34
5884,52614.89
5885,63069.16
5886,71781.84
5887,65727.84
5888,6566.52
5889,43261.62
5890,22584.0
5891,39133.8
5892,85799.56
5893,31295.2
5894,40330.08
5895,62378.28
5896,48253.92
5897,58935.2
5898,57285.21
5899,59422.08
5900,58003.11
5901,27252.84
5902,91916.64
5903,23981.76
5904,31026.6
5905,63927.72
5906,9837.66
5907,5405.7
5908,45878.92
5909,49021.84
5910,53822.99
5911,7285.5
5912,42767.0
5913,34211.25
5914,41249.52
5915,9649.5
5916,60505.92
5917,94844.64
5918,94342.5
5919,1278.31
5920,43958.46
5921,71511.3
5922,47725.3
5923,31587.05
5924,39481.05
5925,33779.55
5926,13837.2
5927,33638.19
5928,35957.6
5929,23003.4
5930,52304.5
5931,8905.33
5932,19168.24
5933,22199.36
5934,3729.54
5935,19977.89
5936,41270.68
5937,48382.36
5938,60577.09
5939,50879.32
5940,81966.02
5941,26869.52
5942,64868.4
5943,32893.48
5944,6590.56
5945,88582.2
5946,38645.05
5947,10666.96
5948,29008.95
5949,62710.9
5950,37986.63
5951,38517.6
5952,18034.88
5953,40547.64
5954,17657.22
5955,16017.44
5956,8883.63
5957,72601.57
5958,68903.64
5959,20143.92
5960,12059.74
5961,55665.96
5962,23573.7
5963,6149.76
5964,41115.86
5965,55334.24
5966,5705.97
5967,34773.84
5968,25080.64
5969,45168.5
5970,23883.8
5971,17892.27
5972,28100.5
5973,13496.7
5974,31551.15
5975,90858.24
5976,26828.16
5977,27868.56
5978,39868.62
5979,63326.62
5980,39178.2
5981,77344.53
5982,12170.48
5983,32091.9
5984,7874.28
5985,15856.02
5986,37529.52
5987,41071.14
5988,61026.45
5989,41767.2
5990,61889.46
5991,38972.88
5992,51747.52
5993,41816.6
5994,47524.36
5995,47506.68
5996,36663.33
5997,26067.84
5998,46695.9
5999,34644.96
6000,65111.45
6001,27268.05
6002,5004.72
6003,11650.88
6004,41004.4
6005,91430.88
6006,4081.35
6007,45953.04
6008,51994.97
6009,57511.5
6010,19728.6
6011,3437.4
6012,73556.66
6013,59841.81
6014,2066.0
6015,30524.25
6016,62231.4
6017,49772.0
6018,33873.77
6019,75672.4
6020,65344.94
6021,17016.8
6022,27053.25
6023,39252.96
6024,53532.08
6025,71062.66
6026,57013.13
6027,52951.86
6028,34330.15
6029,5073.08
6030,31980.81
6031,55677.68
6032,27704.56
6033,19258.91
6034,23183.99
